Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access
Myra,Dayananda Sagar Institutions ,Medical,2,Gemini,4.4,MCQ Practice,1,0,Yes,Gemini,2,No,Karnataka,Laptop,High
Aadhya,Om Sterling Global University ,Agriculture,4,Gemini,4.8,"Doubt Solving, Content Writing",4,2,No,Bard,7,No,Haryana,Laptop,Medium
Riya,"UEI Global, Ludhiana ",Management,2,Other,4.3,"Content Writing, Project Work, Assignments",5,4,No,Gemini,4,Yes,Punjab,Laptop,Medium
Pari,Belagavi Institute of Medical Sciences ,Science,4,Bard,3.9,"Coding Help, Project Work",4,-2,No,Copilot,2,Yes,Karnataka,Mobile,High
Anika,"Lilong Haoreibi College, Imphal ",Science,3,Bard,2.3,"Doubt Solving, Learning new topics, MCQ Practice",1,-4,Yes,Copilot,7,Yes,Manipur,Laptop,Medium
Ira,Directorate of Distance Education Sikkim Manipal University ,Arts,1,Gemini,3.5,"Resume Writing, Learning new topics",1,-5,No,Other,1,No,Sikkim,Mobile,Poor
Meera,Veer Surendra Sai University of Technology ,Science,3,Gemini,3.0,"Content Writing, MCQ Practice",5,-2,Yes,Bard,5,Yes,Orissa,Tablet,Medium
Saanvi,Indus International University ,Commerce,4,Other,3.9,"Learning new topics, MCQ Practice",2,-5,No,Claude,1,No,Himachal pradesh,Laptop,Poor
Navya,All India Institute of Medical Sciences ,Medical,1,Claude,1.3,"Project Work, MCQ Practice",5,-5,No,ChatGPT,10,Yes,Jharkhand,Laptop,Medium
Aarohi,"Rayat Bahra University, Mohali ",Law,2,Claude,0.7,"Doubt Solving, Assignments, Resume Writing",1,-4,No,ChatGPT,7,No,Punjab,Laptop,High
Prisha,"Amal College of Advanced Studies, Nilambur, Nilambur ",Hotel-management,3,Claude,0.9,"Exam Preparation, Assignments",4,-1,No,Claude,2,Yes,Kerala,Tablet,High
Ishita,"AISECT University, Hazaribagh ",Agriculture,1,Gemini,0.7,Resume Writing,1,0,No,Gemini,3,No,Jharkhand,Mobile,Poor
Rakhi,Graphic Era Hill University ,Agriculture,3,Bard,5.0,"Assignments, Content Writing, Project Work",1,-4,Yes,Copilot,2,Yes,Uttarakhand,Laptop,Medium
Ramya,Amritsar Group of Colleges ,Agriculture,4,Copilot,3.6,Exam Preparation,1,-3,No,Gemini,10,No,Punjab,Tablet,Medium
Sneha,Indian Institute of Management ,Management,1,Bard,2.9,"Exam Preparation, Doubt Solving, Resume Writing",3,2,Yes,ChatGPT,5,Yes,Punjab,Tablet,Medium
Divya,ICFAI Foundation for Higher Education ,Commerce,3,Bard,4.3,MCQ Practice,1,-4,No,ChatGPT,4,No,Telangana,Tablet,Medium
Neha,St. Joseph's College of Commerce ,Commerce,4,Claude,1.3,Learning new topics,2,4,No,Copilot,8,Yes,Karnataka,Tablet,Poor
Pooja,Jyotirmoy School of Law ,Law,2,Gemini,4.6,"Exam Preparation, MCQ Practice",4,-2,Yes,Copilot,7,No,West bengal,Tablet,High
Kavya,Kirloskar Institute of Advanced Management Studies ,Management,1,Gemini,2.6,Coding Help,2,-5,No,Gemini,5,No,Karnataka,Laptop,Poor
Aishwarya,"Annabattuni Satyanarayana Degree College, Guntur ",Arts,4,Copilot,1.7,"Coding Help, Learning new topics, MCQ Practice",2,-3,No,Bard,7,Yes,Andhra pradesh,Mobile,Poor
Shreya,Career Point University ,Commerce,3,Copilot,0.9,"Project Work, Doubt Solving, Coding Help",3,-2,No,Gemini,10,No,Himachal pradesh,Tablet,Poor
Nandini,Assam Science and Technology University ,Engineering,4,Bard,2.5,"Assignments, MCQ Practice, Doubt Solving",2,-4,Yes,ChatGPT,10,Yes,Assam,Mobile,High
Aarav,"CMJ University, Ri-Bhoi ",Hotel-management,1,Copilot,1.5,"Project Work, Doubt Solving, MCQ Practice",1,-2,No,Claude,4,Yes,Meghalaya,Mobile,Poor
Vivaan,Ramaiah Institute of Technology ,Science,3,Other,3.2,"Assignments, Coding Help, Exam Preparation",5,4,No,Other,5,No,Karnataka,Mobile,High
Aditya,"St Bede's College, Shimla ",Science,1,Gemini,1.3,"Resume Writing, Assignments",4,1,No,ChatGPT,3,No,Himachal pradesh,Mobile,Medium
Vihaan,Pioneer Institute of Professional Studies ,Agriculture,1,Bard,2.1,"Assignments, Exam Preparation",2,2,Yes,ChatGPT,1,Yes,Madhya pradesh,Mobile,Medium
Arjun,Swami Rama Himalayan University ,Medical,2,Gemini,4.0,Content Writing,3,2,No,Other,6,No,Uttarakhand,Tablet,Medium
Sai,"Ghanshyam Singh Arya Kanya Mahavidyalaya, Durg ",Commerce,3,Copilot,2.6,"Content Writing, Learning new topics",5,5,No,ChatGPT,5,Yes,Chhattisgarh,Mobile,Poor
Reyansh,Indian Institute of Technology ,Science,2,Other,5.0,"Exam Preparation, Assignments",2,4,No,Copilot,4,No,Assam,Mobile,Medium
Ayaan,Bhagwan Mahavir University ,Hotel-management,1,Copilot,4.4,"Doubt Solving, Exam Preparation, Content Writing",2,-1,No,Copilot,7,Yes,Gujarat,Laptop,Medium
Krishna,"OPJS University, Churu ",Pharmacy,2,ChatGPT,3.1,"Learning new topics, Coding Help, MCQ Practice",4,4,No,Copilot,2,No,Rajasthan,Laptop,High
Ishaan,"Lloyd Law College, Greater Noida ",Commerce,2,Claude,3.6,"Content Writing, Resume Writing, Exam Preparation",4,-1,Yes,Copilot,1,No,Uttar pradesh,Mobile,Poor
Rudra,St. Berchmans College ,Commerce,3,Bard,1.1,"Content Writing, Assignments",4,0,Yes,ChatGPT,5,Yes,Kerala,Laptop,Medium
Dhruv,Dolphin PG Institute of BioMedical & Natural ,Commerce,2,ChatGPT,3.7,MCQ Practice,4,4,Yes,Copilot,4,No,Uttarakhand,Laptop,Medium
Kabir,Vaishali Institute of Business and Rural Management ,Management,2,Other,3.4,"Project Work, Coding Help",3,-1,No,Gemini,10,No,Bihar,Tablet,Poor
Atharv,Vinod Gupta School of Management ,Management,2,Other,4.0,"Resume Writing, Project Work",5,-2,No,Copilot,2,No,West bengal,Tablet,Poor
Om,Vasantrao Naik Marathwada Krishi Vidyapeeth ,Agriculture,4,Bard,1.3,"Coding Help, Resume Writing",5,2,No,Bard,6,Yes,Maharashtra,Laptop,Medium
Anaya,"Lady Keane College, Shillong ",Management,4,Claude,4.8,"Assignments, Doubt Solving",4,-4,Yes,Bard,5,No,Meghalaya,Tablet,High
Siya,"St Francis Sales College, West Siang ",Agriculture,3,Gemini,3.3,"Content Writing, Assignments, Project Work",4,-3,No,Other,1,Yes,Arunachal pradesh,Tablet,Medium
Diya,"Kanak Manjari Institute of Pharmaceutical Sciences, Rourkela ",Pharmacy,1,ChatGPT,0.7,"Coding Help, Learning new topics, Content Writing",1,-1,No,Other,6,No,Orissa,Mobile,Medium
Myra,"Modern College of Pharmacy Nigdi, Pune ",Pharmacy,1,Other,1.4,Doubt Solving,4,-3,Yes,Other,3,No,Maharashtra,Tablet,High
Aadhya,Seacom Skills University ,Hotel-management,1,Claude,3.3,Coding Help,1,-5,Yes,Bard,2,Yes,West bengal,Mobile,Medium
Riya,"Cluster University of Jammu, Jammu ",Commerce,1,Claude,0.6,"Exam Preparation, Project Work, Assignments",1,-1,No,Claude,3,Yes,Jammu,Tablet,Medium
Pari,Nehru Arts and Science College ,Agriculture,4,Other,3.3,"Resume Writing, Assignments",2,-3,Yes,Gemini,9,No,Kerala,Laptop,Poor
Anika,Bengal College of Engineering and Technology ,Engineering,3,Copilot,3.5,"Exam Preparation, Learning new topics, Doubt Solving",3,1,No,Other,2,No,West bengal,Laptop,Poor
Ira,"INMANTEC Institutions, Ghaziabad ",Pharmacy,2,ChatGPT,1.8,Project Work,1,4,No,ChatGPT,10,No,Uttar pradesh,Mobile,High
Meera,Government M L B Girls PG College ,Commerce,2,Claude,4.5,"Content Writing, Assignments",2,0,Yes,Copilot,9,No,Madhya pradesh,Tablet,Poor
Saanvi,Dibrugarh Hanumanbux Surajmal Kanoi College ,Arts,2,Other,1.2,"Learning new topics, Exam Preparation, Doubt Solving",2,-1,No,Claude,2,No,Assam,Laptop,Poor
Navya,"VIT Bhopal University, Bhopal ",Science,2,Bard,3.7,"Doubt Solving, Content Writing, Coding Help",3,4,No,Bard,10,Yes,Madhya pradesh,Mobile,Medium
Aarohi,Hyderabad School of Business ,Commerce,1,Other,1.2,Coding Help,4,5,No,Copilot,4,No,Telangana,Mobile,High
Prisha,Uttaranchal College of Science & Technology ,Agriculture,4,Claude,4.7,Content Writing,1,-5,Yes,Claude,6,Yes,Uttarakhand,Mobile,Medium
Ishita,"Government Degree College, Jammu ",Science,1,Other,2.5,Doubt Solving,2,-2,No,Claude,8,No,Jammu,Mobile,Poor
Rakhi,"Acharya NG Ranga Agricultural University, Agricultural College ",Agriculture,2,Claude,4.2,Coding Help,5,-5,Yes,Gemini,1,No,Andhra pradesh,Mobile,Medium
Ramya,"Sri Venkateshwara College of Pharmacy, Hyderabad ",Pharmacy,4,Bard,3.0,Learning new topics,2,5,No,Gemini,4,Yes,Telangana,Tablet,Poor
Sneha,"Sumandeep Vidyapeeth, Vadodara ",Medical,3,Bard,4.5,Coding Help,4,1,No,ChatGPT,10,Yes,Gujarat,Mobile,High
Divya,Xavier Institute of Management ,Management,3,ChatGPT,1.0,Assignments,5,3,No,ChatGPT,4,Yes,Orissa,Laptop,High
Neha,Awadhesh Pratap Singh University ,Science,3,ChatGPT,4.4,Content Writing,1,3,Yes,Bard,10,Yes,Madhya pradesh,Laptop,Medium
Pooja,"Nizam College, Hyderabad ",Science,1,Bard,3.6,Exam Preparation,3,5,Yes,ChatGPT,6,No,Telangana,Laptop,Medium
Kavya,"Arni University, Kangra ",Commerce,3,ChatGPT,1.1,"Learning new topics, Assignments, Coding Help",4,-4,Yes,Copilot,2,No,Himachal pradesh,Tablet,High
Aishwarya,BML Munjal University ,Arts,1,Bard,2.7,Content Writing,1,-4,Yes,Claude,9,Yes,Haryana,Tablet,High
Shreya,AKS University ,Engineering,4,Claude,1.9,Assignments,1,-5,Yes,Bard,10,No,Madhya pradesh,Tablet,High
Nandini,"Jaipuria Institute of Management, Jaipur ",Management,1,Bard,2.7,"Project Work, Resume Writing",4,1,Yes,ChatGPT,8,No,Rajasthan,Tablet,Medium
Aarav,"DCT’s Dhempe College of Arts and Science, Panji ",Science,3,Gemini,2.0,MCQ Practice,2,-4,Yes,Gemini,7,No,Goa,Mobile,Poor
Vivaan,Radha Govind University ,Agriculture,2,ChatGPT,0.8,Exam Preparation,2,-1,Yes,Copilot,6,Yes,Jharkhand,Laptop,Poor
Aditya,Zoram Medical College ,Medical,4,Claude,3.5,"Coding Help, Doubt Solving, Resume Writing",5,-2,No,Other,6,No,Mizoram,Laptop,Poor
Vihaan,Chandigarh Institute of Hotel Management and Catering ,Hotel-management,3,Copilot,4.0,"MCQ Practice, Content Writing",3,3,Yes,ChatGPT,6,No,Punjab,Tablet,Poor
Arjun,Modern Vidya Niketan ,Agriculture,4,Copilot,0.9,Doubt Solving,2,-1,Yes,ChatGPT,6,No,Delhi ncr,Mobile,High
Sai,"Amity University, Raipur ",Engineering,4,Other,3.9,Assignments,4,-5,No,Copilot,10,Yes,Chhattisgarh,Laptop,High
Reyansh,"DRIEMS Group of Institutions, Cuttack ",Medical,1,Copilot,4.3,"Exam Preparation, Assignments",4,1,No,ChatGPT,4,Yes,Orissa,Laptop,Poor
Ayaan,"SRM University Delhi NCR, Sonepat ",Arts,4,Bard,0.7,"Assignments, Learning new topics",1,4,No,Copilot,10,No,Haryana,Mobile,Poor
Krishna,"St Joseph's College, Kohima ",Management,4,Claude,4.0,"Assignments, Coding Help, Content Writing",4,5,No,Bard,8,Yes,Nagaland,Tablet,High
Ishaan,Amity Global Business School ,Management,3,Gemini,4.8,"MCQ Practice, Resume Writing",1,-1,No,ChatGPT,4,No,Delhi ncr,Laptop,Poor
Rudra,Vidyavardhaka Law College ,Law,4,ChatGPT,3.3,"Content Writing, Doubt Solving",5,-5,Yes,Copilot,10,No,Karnataka,Laptop,Medium
Dhruv,"Career College, Bhopal ",Arts,4,Claude,0.6,Exam Preparation,1,0,No,Other,9,No,Madhya pradesh,Laptop,Poor
Kabir,"Gurugram University, Gurgaon ",Engineering,1,Copilot,4.5,"Learning new topics, Coding Help, MCQ Practice",2,-1,No,Copilot,8,Yes,Delhi ncr,Mobile,Medium
Atharv,Sister Nivedita University ,Engineering,2,Gemini,4.4,"Assignments, MCQ Practice, Doubt Solving",1,-3,No,Bard,6,Yes,West bengal,Tablet,Medium
Om,Vellore Institute of Technology ,Law,2,ChatGPT,4.8,"Content Writing, Assignments",3,3,Yes,Bard,4,Yes,Tamil nadu,Mobile,Medium
Anaya,Lady Brabourne College ,Arts,4,ChatGPT,2.8,MCQ Practice,3,4,No,Other,7,Yes,West bengal,Tablet,Medium
Siya,"CU Shah Commerce College, Ahmedabad ",Commerce,3,Gemini,0.6,"Learning new topics, Doubt Solving, MCQ Practice",3,2,No,Bard,1,No,Gujarat,Laptop,Poor
Diya,"Lalit Chandra Bharali College, Guwahati ",Science,3,Gemini,4.6,Coding Help,5,-2,No,Bard,9,No,Assam,Mobile,Medium
Myra,"Chameli Devi Group of Institution, Indore ",Pharmacy,1,Other,3.8,"Coding Help, Doubt Solving",2,4,No,Bard,2,Yes,Madhya pradesh,Tablet,Poor
Aadhya,Royal Global University ,Commerce,4,Copilot,1.7,"Content Writing, MCQ Practice, Resume Writing",2,0,Yes,Claude,6,No,Assam,Tablet,Poor
Riya,Central Agricultural University ,Engineering,4,Other,4.8,"Learning new topics, Coding Help",3,3,Yes,Copilot,8,Yes,Manipur,Laptop,High
Pari,Kakatiya University ,Law,2,Bard,4.2,Doubt Solving,2,1,Yes,Bard,5,No,Telangana,Laptop,High
Anika,"Deen Dayal Upadhyaya College, New Delhi ",Arts,1,ChatGPT,2.3,"Resume Writing, Exam Preparation, Learning new topics",2,-3,No,ChatGPT,3,No,Delhi ncr,Laptop,Poor
Ira,"KMS College of IT and Management, Dasuya ",Medical,4,Other,1.0,Project Work,1,-3,Yes,Gemini,9,No,Punjab,Laptop,Medium
Meera,Chandigarh University ,Agriculture,2,Claude,3.6,Content Writing,1,0,No,Bard,10,Yes,Punjab,Tablet,High
Saanvi,Indian Institute of Knowledge Management ,Law,1,Other,4.6,"Project Work, Exam Preparation",4,-1,No,Other,3,Yes,Tamil nadu,Tablet,Medium
Navya,K L University Business School ,Management,1,Gemini,4.5,"Learning new topics, Exam Preparation, MCQ Practice",3,2,Yes,Bard,10,No,Andhra pradesh,Mobile,Poor
Aarohi,"Mithibai College of Arts, Mumbai ",Commerce,3,Claude,2.0,"Doubt Solving, Project Work, Resume Writing",3,1,No,Gemini,3,Yes,Maharashtra,Tablet,Medium
Prisha,Baosi Banikanta Kakati College ,Science,2,Claude,2.8,"Learning new topics, Coding Help, Resume Writing",3,-3,Yes,Copilot,5,No,Assam,Laptop,High
Ishita,Pt. Ravishankar Shukla University ,Law,2,Copilot,4.7,"Coding Help, MCQ Practice",3,-3,Yes,Gemini,9,Yes,Chhattisgarh,Mobile,High
Rakhi,Magadh University ,Arts,1,Bard,2.9,Assignments,4,-5,No,Gemini,5,Yes,Bihar,Tablet,Medium
Ramya,Maharashtra Institute of Medical Education and Research ,Medical,2,Claude,1.8,Coding Help,4,1,No,Copilot,2,No,Maharashtra,Laptop,Medium
Sneha,Anderson Theological College ,Arts,1,Copilot,4.1,"MCQ Practice, Coding Help, Resume Writing",2,3,No,Copilot,8,No,Nagaland,Tablet,High
Divya,"VIT Bhopal University, Bhopal ",Management,3,ChatGPT,2.5,"Doubt Solving, Learning new topics, Coding Help",5,5,Yes,Other,1,No,Madhya pradesh,Mobile,Poor
Neha,Institute for Excellence in Higher Education ,Commerce,4,Gemini,3.5,"Exam Preparation, Resume Writing",4,-3,No,Copilot,3,No,Madhya pradesh,Tablet,Medium
Pooja,Assam Institute of Technology ,Engineering,2,ChatGPT,2.5,"Doubt Solving, MCQ Practice",2,-5,No,Other,5,Yes,Assam,Tablet,Medium
Kavya,AISSMS College of Hotel Management & Catering ,Hotel-management,2,Other,2.1,"Resume Writing, Content Writing, Project Work",2,-1,No,Claude,7,No,Maharashtra,Tablet,Poor
Aishwarya,Dasarath Deb Memorial College ,Commerce,3,ChatGPT,1.5,"Project Work, Exam Preparation",3,-2,No,ChatGPT,3,No,Tripura,Laptop,Medium
Shreya,Sher-e-Kashmir University of Agricultural Sciences and Technology ,Agriculture,1,Copilot,3.6,"Resume Writing, Exam Preparation, Project Work",4,4,No,Other,4,Yes,Jammu,Laptop,High
Nandini,RK University ,Agriculture,2,Claude,0.8,"Content Writing, Learning new topics",4,1,No,Claude,7,No,Gujarat,Mobile,Poor
Aarav,Malla Reddy Engineering College ,Engineering,4,Other,1.5,"Assignments, Content Writing, MCQ Practice",4,-2,Yes,Bard,4,Yes,Telangana,Tablet,Medium
Vivaan,Guru Jambheshwar University of Science and Technology ,Medical,3,Gemini,3.2,Assignments,4,-4,No,Copilot,9,Yes,Haryana,Tablet,Medium
Aditya,"M.V. College, Buxar ",Agriculture,2,Copilot,2.9,Doubt Solving,4,-2,No,Gemini,6,No,Bihar,Laptop,Medium
Vihaan,Andhra University ,Hotel-management,2,ChatGPT,0.7,Doubt Solving,1,3,No,Claude,1,No,Andhra pradesh,Laptop,Poor
Arjun,"Shri Saraswati Gramvidyapith, Patan ",Agriculture,1,Gemini,3.3,"MCQ Practice, Assignments, Resume Writing",1,1,No,Gemini,5,No,Gujarat,Mobile,High
Sai,"Azim Premji University, Bangalore ",Law,4,ChatGPT,0.6,"Resume Writing, Coding Help, Learning new topics",5,1,Yes,Bard,5,Yes,Karnataka,Laptop,Medium
Reyansh,"SRM University, Amaravathi ",Arts,1,Copilot,1.7,Coding Help,3,5,No,Claude,5,Yes,Andhra pradesh,Mobile,High
Ayaan,"AP Goyal Shimla University, Shimla ",Arts,4,Bard,1.8,"Doubt Solving, MCQ Practice",4,-5,No,Other,7,Yes,Himachal pradesh,Tablet,High
Krishna,"R.B.D. Mahila Mahavidyalaya, Bijnor ",Commerce,1,Claude,1.5,Project Work,2,2,No,Claude,10,Yes,Uttar pradesh,Tablet,Medium
Ishaan,Sacred Heart College ,Commerce,3,Gemini,4.1,Coding Help,5,-3,Yes,Claude,10,No,Kerala,Mobile,Poor
Rudra,Institute of Hotel Management ,Hotel-management,4,Bard,4.3,"MCQ Practice, Assignments, Project Work",4,-1,No,Copilot,6,No,Madhya pradesh,Mobile,High
Dhruv,"Christ College Irinjalakuda, Thrissur ",Science,4,ChatGPT,1.7,Doubt Solving,4,3,No,Copilot,4,Yes,Kerala,Laptop,Poor
Kabir,Nalanda College of Engineering ,Engineering,4,Bard,3.0,"Coding Help, Doubt Solving, MCQ Practice",1,1,Yes,ChatGPT,3,Yes,Bihar,Mobile,Poor
Atharv,Sikkim Manipal University ,Medical,4,ChatGPT,0.7,"Exam Preparation, Resume Writing",5,2,Yes,Other,9,No,Sikkim,Laptop,High
Om,"Sri Ramachandra Medical College, Chennai ",Pharmacy,3,ChatGPT,2.5,"Content Writing, Learning new topics",5,0,Yes,Gemini,5,No,Tamil nadu,Tablet,Medium
Anaya,Bengal College of Engineering and Technology ,Engineering,3,Bard,3.2,"Exam Preparation, MCQ Practice",3,-3,Yes,Bard,8,Yes,West bengal,Laptop,High
Siya,JP Institute of Hotel Management & Catering ,Hotel-management,2,Gemini,2.6,Content Writing,2,-2,Yes,Bard,8,No,Delhi ncr,Mobile,Poor
Diya,Himachal Pradesh University ,Arts,4,Bard,1.2,"Doubt Solving, MCQ Practice",3,5,Yes,Gemini,5,No,Himachal pradesh,Laptop,High
Myra,"SRM University Sikkim, Gangtok ",Arts,3,Copilot,3.3,"Content Writing, MCQ Practice",1,4,Yes,ChatGPT,4,No,Sikkim,Mobile,Medium
Aadhya,Asia Pacific Institute of Management ,Commerce,1,Gemini,4.1,"Project Work, Learning new topics, Content Writing",5,4,No,Other,10,Yes,Gujarat,Mobile,Medium
Riya,"Poddar Group of Institutions, Jaipur ",Pharmacy,1,Gemini,5.0,Resume Writing,2,-3,No,ChatGPT,6,Yes,Rajasthan,Mobile,Medium
Pari,"Dibrugarh University, Dibrugarh ",Management,4,Claude,3.5,"Content Writing, Coding Help",2,3,No,Claude,7,Yes,Assam,Laptop,Poor
Anika,Jai Narain Vyas University ,Arts,3,Bard,0.9,"MCQ Practice, Resume Writing, Learning new topics",3,-3,No,Bard,8,No,Rajasthan,Tablet,Medium
Ira,"EMEA College of Arts and Science Kondotty, ",Law,1,Bard,4.5,"Learning new topics, Resume Writing, Assignments",3,2,No,Other,7,No,Kerala,Tablet,Medium
Meera,"Vinayakrao Patil Mahavidyalaya, Aurangabad ",Arts,2,Claude,2.2,"Assignments, MCQ Practice, Exam Preparation",3,3,Yes,ChatGPT,10,No,Maharashtra,Laptop,Poor
Saanvi,"Srinivas University, Mangalore ",Medical,3,Copilot,2.8,Content Writing,1,5,No,Other,8,No,Karnataka,Mobile,High
Navya,"Dhanamanjuri University, Imphal ",Arts,3,Copilot,3.3,"Assignments, Exam Preparation, Content Writing",4,2,Yes,Claude,9,No,Manipur,Mobile,Medium
Aarohi,"Government Degree College for Boys, Anantnag ",Arts,1,Bard,4.5,Resume Writing,2,-4,No,ChatGPT,1,No,Jammu,Tablet,Poor
Prisha,Anderson Theological College ,Arts,1,Copilot,0.9,"Content Writing, MCQ Practice, Learning new topics",5,-5,No,Other,6,No,Nagaland,Tablet,Poor
Ishita,"Mahila Vidyalaya PG College, Lucknow ",Arts,3,Bard,0.6,"Project Work, Doubt Solving, Exam Preparation",1,-4,Yes,Bard,3,No,Uttar pradesh,Mobile,Poor
Rakhi,"Sri Manakula Vinayagar Engineering College, Pondicherry ",Management,4,ChatGPT,1.7,Doubt Solving,4,-3,Yes,Copilot,5,Yes,Puducherry,Mobile,High
Ramya,"MKSSS's Cummins College of Engineering for Women, ",Engineering,4,Bard,4.3,Exam Preparation,1,-4,Yes,Gemini,2,Yes,Maharashtra,Laptop,Medium
Sneha,"College of Veterinary Sciences, Hisar ",Agriculture,1,Gemini,4.0,Learning new topics,4,-4,Yes,Copilot,4,Yes,Haryana,Laptop,High
Divya,"KK Wagh College of Agriculture, Nashik ",Agriculture,4,Other,1.8,"Resume Writing, Learning new topics",4,-2,Yes,Copilot,4,Yes,Maharashtra,Laptop,Poor
Neha,"Government DB Girl's Post Graduate College, Raipur ",Commerce,4,Copilot,0.9,"Learning new topics, Doubt Solving",5,2,Yes,ChatGPT,10,Yes,Chhattisgarh,Mobile,High
Pooja,"School of Management, SRM IST, Kanchipuram ",Management,2,Other,2.5,"Content Writing, MCQ Practice, Resume Writing",5,3,No,ChatGPT,9,Yes,Tamil nadu,Laptop,Medium
Kavya,Narsee Monjee Institute of Management Studies ,Pharmacy,4,Copilot,0.6,Doubt Solving,2,2,Yes,Claude,10,No,Telangana,Laptop,Poor
Aishwarya,Shri Ram Murti Smarak College of Engineering ,Management,4,Other,3.1,Learning new topics,1,5,No,ChatGPT,3,Yes,Uttar pradesh,Laptop,High
Shreya,Nirma University ,Commerce,3,Other,4.6,Learning new topics,3,-3,No,Bard,3,No,Gujarat,Laptop,Medium
Nandini,"D.K. College, Buxar ",Arts,4,Bard,3.1,"Project Work, Exam Preparation",2,-1,No,Bard,6,No,Bihar,Tablet,High
Aarav,Ramniranjan Jhunjhunwala College ,Agriculture,3,ChatGPT,4.9,Doubt Solving,1,1,No,Copilot,10,No,Maharashtra,Tablet,Medium
Vivaan,Chandigarh University ,Agriculture,2,Bard,1.2,"Doubt Solving, MCQ Practice",5,-3,Yes,Other,6,No,Haryana,Mobile,Poor
Aditya,Pondicherry Institute of Medical Sciences ,Medical,2,Copilot,2.6,Exam Preparation,1,5,Yes,Gemini,3,No,Puducherry,Laptop,High
Vihaan,Shri Krishna University ,Law,2,Gemini,4.4,"Coding Help, MCQ Practice",2,5,No,ChatGPT,8,Yes,Madhya pradesh,Laptop,High
Arjun,K L University ,Arts,4,Bard,3.6,"MCQ Practice, Exam Preparation, Learning new topics",4,2,Yes,ChatGPT,7,Yes,Andhra pradesh,Laptop,Poor
Sai,"Assam University, Silchar ",Pharmacy,4,Copilot,4.5,"Project Work, Doubt Solving, Content Writing",1,0,No,Other,10,Yes,Assam,Mobile,Medium
Reyansh,"SJM College of Pharmacy, Chitradurga ",Pharmacy,2,Gemini,2.2,"Doubt Solving, Assignments",5,4,No,ChatGPT,4,Yes,Karnataka,Laptop,Poor
Ayaan,Sri Sri University ,Management,1,Gemini,1.9,Learning new topics,4,5,Yes,Claude,3,No,Orissa,Laptop,High
Krishna,JECRC University ,Law,4,ChatGPT,1.7,"Resume Writing, Doubt Solving",4,5,Yes,Claude,2,Yes,Rajasthan,Tablet,High
Ishaan,School of Planning and Architecture ,Science,1,Other,4.4,Resume Writing,3,-3,No,Other,8,No,Madhya pradesh,Laptop,High
Rudra,"Integral University, Lucknow ",Medical,4,Claude,4.0,"Project Work, Content Writing",1,4,No,Bard,6,No,Uttar pradesh,Tablet,High
Dhruv,Ramchandra Chandravansi University ,Commerce,3,ChatGPT,4.0,"Doubt Solving, Project Work",1,-3,Yes,Copilot,10,Yes,Jharkhand,Mobile,High
Kabir,Central University of Jharkhand ,Management,4,Claude,0.7,"Assignments, Coding Help",4,2,No,ChatGPT,10,Yes,Jharkhand,Laptop,Medium
Atharv,National Law Institute University ,Science,3,Other,1.8,Doubt Solving,3,-3,No,Copilot,7,Yes,Madhya pradesh,Laptop,High
Om,Shri Guru Ram Rai University ,Agriculture,3,Other,0.7,Learning new topics,1,3,No,Gemini,3,No,Uttarakhand,Tablet,Medium
Anaya,Uttarakhand Open University ,Law,2,Other,1.2,"Project Work, Content Writing",3,2,Yes,Other,9,Yes,Uttarakhand,Mobile,Medium
Siya,"Amity University, Gurgaon ",Management,3,Copilot,0.7,"Coding Help, Project Work, Content Writing",1,0,No,Claude,7,Yes,Haryana,Mobile,High
Diya,Nalanda Open University ,Agriculture,3,Other,3.4,Project Work,1,-2,No,Copilot,10,Yes,Bihar,Tablet,High
Myra,Royal Global University ,Science,3,Bard,2.6,"Content Writing, Resume Writing",3,3,Yes,Bard,7,Yes,Assam,Tablet,High
Aadhya,Panjab University ,Agriculture,3,ChatGPT,2.3,Project Work,2,-1,No,Claude,10,Yes,Chandigarh,Mobile,High
Riya,Mewar University ,Arts,2,ChatGPT,3.7,Coding Help,5,-1,No,Bard,7,No,Rajasthan,Tablet,High
Pari,"CT Group of Institutions, Jalandhar ",Pharmacy,4,Bard,0.6,"Learning new topics, Doubt Solving",4,-3,No,Other,8,No,Punjab,Tablet,Medium
Anika,St. Xavier's College ,Arts,2,Other,2.3,"Assignments, Coding Help",4,3,No,ChatGPT,4,No,West bengal,Laptop,High
Ira,"D.L.S. P.G. College, Bilaspur ",Medical,3,Claude,3.5,Resume Writing,5,4,Yes,Bard,6,No,Chhattisgarh,Laptop,Medium
Meera,"Tula's Institute, Dehradun ",Engineering,3,Bard,3.8,Project Work,5,-3,No,Bard,2,No,Uttarakhand,Laptop,High
Saanvi,"Government Degree College, Doda ",Commerce,2,ChatGPT,3.1,Resume Writing,4,3,No,Copilot,4,Yes,Jammu,Tablet,Medium
Navya,S. V. Agricultural College ,Agriculture,3,Copilot,3.3,"Learning new topics, Project Work, Coding Help",4,2,No,Copilot,8,No,Andhra pradesh,Mobile,Medium
